timestamp,units_in_system
0.0,0
0.0001,1
0.0002,2
0.00030000000000000003,3
0.0004,4
0.0005,5
0.0006000000000000001,6
0.0007,7
0.0008,8
0.0009000000000000001,9
0.001,10
0.0011,11
0.0012000000000000001,12
0.0013000000000000002,13
0.0015,14
0.0017000000000000001,15
0.0018000000000000002,16
0.002,17
0.0024000000000000002,18
0.0025,19
0.0057,20
0.0059,21
0.0073,22
0.0083,23
0.0095,24
0.0098,25
0.49264800000000003,26
0.492848,27
1.665874,28
1.665974,29
1.666374,30
2.5829924,31
3.0371548,32
3.0373548,33
3.0378548000000003,34
3.331748,35
3.332148,36
5.592399,37
5.6193472,38
6.0653914,39
6.0735096,40
6.073709600000001,41
6.0742096000000005,42
6.2410184,41
6.241218399999999,40
6.663196,41
8.0796248,40
8.2019396,41
8.656302,42
8.656802,43
8.9497582,42
9.1040872,41
9.109864400000001,42
9.7014368,41
9.9180312,40
10.515380799999999,39
11.2382944,40
11.3252754,39
11.370365200000002,40
11.5398432,39
11.692456800000002,40
11.6926568,41
11.6931568,42
11.965342200000002,43
12.1739554,44
12.615215,43
12.7684324,44
13.0923218,43
13.1636818,42
13.9642432,41
14.080516800000002,42
14.274649199999999,43
14.275049200000002,44
14.275249200000001,45
14.293346,44
14.4536214,43
14.618096200000002,44
14.7295116,45
14.7668312,44
15.050970999999999,43
15.8008616,42
16.364352,41
16.827312,40
16.8291386,39
16.8572416,40
17.311404000000003,41
17.4246616,40
17.4756016,41
17.5653762,40
17.654451,41
17.7658664,42
17.914039799999998,41
18.006041800000002,42
18.070078600000002,43
18.3348578,44
18.5113894,43
19.0728918,42
19.4569504,41
19.6363822,40
19.8555554,41
19.8935964,42
19.893996400000002,43
20.2370434,44
20.2877304,43
20.8022212,44
20.8374064,43
20.885080000000002,42
21.080589000000003,41
21.482429600000003,40
22.289567399999996,39
22.344922,38
22.777247799999998,39
22.8243474,40
22.9084124,39
22.9299512,40
22.930351200000004,41
23.273398200000003,42
23.340357200000003,41
23.418824400000002,42
23.838576000000003,43
23.943657800000004,42
24.013301400000003,43
24.1094366,42
24.109896399999997,43
24.147069600000002,42
24.541007400000005,41
25.138357000000006,40
25.6169522,39
25.764757200000005,38
25.966306000000003,39
25.966706000000006,40
26.1804426,39
26.309753000000004,40
26.362106800000007,39
26.698463399999994,40
26.874930800000005,41
26.9353938,42
27.010138400000002,41
27.3814668,40
27.607488000000004,39
28.548898400000002,40
28.8889824,39
28.892345400000004,40
29.003060800000007,41
29.225175600000007,40
29.345907800000006,41
29.4524728,40
29.457523200000004,41
29.82252520000001,40
29.828476200000008,39
29.9572612,38
30.109736600000005,37
30.554610800000003,36
30.5861732,35
30.653496999999998,34
30.847604000000004,33
31.444953600000005,32
31.585253200000004,33
31.928500200000006,34
31.928700200000005,35
32.042303200000006,34
32.1610126,33
32.21735979999999,34
32.25287620000001,33
32.493878,34
32.724503,33
32.81183679999999,34
32.979010800000005,33
33.212716400000005,32
33.66588359999999,33
33.9255272,32
34.05554119999999,33
34.07397560000001,32
34.621608,33
34.927011399999984,34
34.96485500000001,35
34.96505500000001,36
35.076470400000005,37
35.11594500000001,36
35.328229999999984,37
35.369227599999995,36
35.4330428,35
35.842079600000005,34
35.9965332,33
36.17517840000001,32
36.93704440000001,31
36.97387260000001,30
36.99400399999998,31
37.1975574,30
37.20736539999998,31
37.53439400000001,30
37.6579628,31
37.65906280000001,32
38.001209800000005,33
38.001409800000005,34
38.131743600000014,33
38.232296399999996,32
38.348317800000004,31
38.65977799999998,32
38.705073000000006,31
38.945667400000005,30
39.268563400000005,29
40.18047559999998,30
40.28285299999999,29
40.5804406,28
40.58400220000001,29
40.6943176,30
40.695417600000006,31
40.77782519999998,30
40.994812400000015,29
41.0375646,30
41.347849799999985,31
41.70117319999998,32
41.862789400000004,33
42.07295320000001,32
42.29852279999998,31
42.97065739999999,30
43.22187079999998,31
43.465896999999984,30
43.620357000000006,31
43.730672399999996,32
43.81922039999998,31
44.0739194,32
44.20055919999997,33
44.210918599999985,32
44.38924499999998,33
44.4167664,34
44.8991442,35
44.97183780000001,34
44.98659459999998,33
45.48212179999997,34
45.67398519999998,33
45.86633319999997,34
45.90994259999998,35
45.933119399999995,34
46.066516,35
46.20294940000001,36
46.50729219999998,35
46.68228919999998,34
46.767027199999994,35
47.2393506,34
47.33975919999998,33
47.4531212,34
47.60016899999997,33
48.02798979999998,32
48.564977599999985,31
49.1028708,32
49.23930420000001,33
49.73646279999997,34
49.80338199999999,35
50.041918999999986,34
50.270242599999996,35
50.489475999999996,36
50.74827739999997,37
50.832322999999995,38
51.214766399999974,37
51.25716039999997,38
51.787407799999976,37
51.85011199999998,36
52.03291019999997,35
52.275659000000005,36
52.38475739999998,35
52.74800039999997,34
52.777857999999966,35
52.83973679999999,36
52.88054039999997,35
52.90498779999999,34
53.306597399999994,35
53.34534999999997,34
53.50233739999999,33
53.86867779999999,34
53.94269959999997,33
54.16210299999997,32
54.298555599999965,33
54.67958439999998,32
54.70759079999997,31
54.809157399999975,30
54.85825140000001,31
55.00446979999997,30
55.42232919999999,31
55.834567999999976,30
56.34295219999999,31
56.416602799999964,30
56.451270199999996,31
57.48383799999998,30
57.55346459999997,29
57.894606200000005,30
57.93730039999996,29
58.45868399999999,30
58.52890479999996,31
58.60141799999999,30
58.62188899999997,31
58.78618079999997,32
59.04178019999997,31
59.12341079999997,30
59.37930699999999,31
59.487624999999994,32
59.72076039999997,31
60.039296799999974,30
60.142586599999966,31
60.30687839999997,32
60.374432,31
60.47719860000001,32
60.80036919999996,31
61.041276399999994,32
61.39197359999996,31
61.397718799999964,30
61.804914999999966,29
61.98932319999996,28
62.17102640000001,27
62.40226459999997,26
62.41566179999999,27
62.52397979999999,28
62.65254519999997,27
63.32905819999996,28
63.493349999999964,29
63.513553400000006,30
64.0776312,31
64.09069959999997,30
64.26078759999996,29
64.4204782,30
64.47090459999995,31
64.47959559999997,30
64.81984099999997,29
65.4520166,30
65.56033459999999,31
66.04158239999997,30
66.63893199999997,29
66.78660399999995,28
66.95089579999996,27
67.23628159999997,26
67.30187019999997,25
67.51229979999997,26
68.10964939999997,25
68.63804679999996,24
69.03299739999997,25
69.22805399999997,24
69.63034699999997,23
69.66806139999997,24
70.65263359999997,23
71.05811979999997,22
71.52598899999997,21
71.60175359999997,20
72.01319539999994,19
72.12654419999997,20
72.67174219999998,19
73.05757219999997,18
73.30680619999998,17
74.23015419999999,18
74.24531819999994,17
74.27643419999997,16
74.82750379999999,15
75.26086419999999,16
75.31301579999997,17
75.75085179999999,18
75.85821379999999,17
75.90749279999997,18
75.91036539999998,17
76.02606799999997,16
76.32960239999997,15
76.45556339999999,14
76.88555439999998,13
76.92663819999999,14
77.2715494,15
77.42819039999998,16
77.62005379999998,15
77.868899,14
78.4662486,13
78.49605979999998,14
78.59241219999998,15
78.77343419999997,14
78.9373234,15
79.6969798,16
80.16183379999998,17
80.25818619999998,18
80.32458299999999,19
80.80652539999998,18
81.22970319999999,19
81.92396019999998,20
81.99035699999999,21
82.4201478,20
82.63357579999999,19
85.6066194,18
87.2723934,17
87.70488599999999,16
88.0861814,15
89.634432,14
90.5444236,13
92.64582779999998,12
93.20436059999999,11
93.585656,10
95.166545,9
95.4324106,8
95.9476946,7
96.2048776,6
97.39459500000001,5
98.4385752,4
99.4769078,3
100.66662520000001,2
101.7106054,1
103.1676496,0
